Read_ID	QUERY_LEN	REF_LEN	sDTW score: fwd-strand	sDTW score: rev-strand
259	read_243451a5-5f01-425a-abf4-c7b99c80a805	2048	48128	281.75	295.5
260	read_2453cc06-168a-4426-ac9a-811ea2b17d1f	2048	48128	289.5	291
261	read_2462231d-2516-4458-ab34-17fb10428204	2048	48128	281.75	270.5
262	read_2489c3f3-381b-4c99-9893-3e07f4bf832b	2048	48128	281.25	279
263	read_24c0477f-ee2d-479a-9220-1e179726a629	2048	48128	241.125	260.75
264	read_24f19199-61c8-4dcc-ae36-1ef5108c08c6	2048	48128	291.25	303.5
265	read_24fe267b-1414-494e-9542-f095b9f2df03	2048	48128	262.25	270.25
266	read_25262495-aef9-4750-b7a1-32a679997c5d	2048	48128	298.5	298.25
267	read_255f5e87-4c5b-4df6-8a91-f3685b7fc55c	2048	48128	260.25	275
268	read_2567c68e-af24-43e7-bbe5-f6466d1278ff	2048	48128	276	284.75
269	read_256e4af8-66ae-41a1-86f2-0c6766f73dc1	2048	48128	281.5	289.75
270	read_25728e05-4b26-4438-8e57-9e5c565b05ce	2048	48128	287	296.5
271	read_257612db-ef30-46fd-8545-06414dc749b0	2048	48128	282.5	270.25
272	read_2594d5c1-900d-416f-bc28-fd99056e590e	2048	48128	286.25	291.25
273	read_25953a1d-e50a-4d7c-9d45-a9c16b8197dd	2048	48128	287.75	285.25
274	read_2598e882-6519-40e3-a2f8-f36f7b78edea	2048	48128	299.75	303.25
275	read_25acd29c-f60e-46a3-aba1-f3c5a4fc4292	2048	48128	322	324
276	read_25ace56c-0b32-41cb-ae63-e9efc3527547	2048	48128	280.5	276.25
277	read_25b777e8-c1df-48c9-a10b-aec63f5d2494	2048	48128	282.5	297.25
278	read_2637002d-3a26-4919-9da4-80bf4cddc209	2048	48128	323.75	319.5
279	read_265a7568-8ed5-4011-827f-65c448a38bc4	2048	48128	287.5	301.25
280	read_265bf1ca-6cc0-4df7-b21e-cb139d743f3e	2048	48128	269	268.25
281	read_26650c02-9319-4349-9d6c-2454a5c26ca2	2048	48128	297	308.75
282	read_266b5763-7b00-4646-83cb-f5060bc1e150	2048	48128	305	302.25
283	read_268492fc-684e-4b25-b070-0be042391258	2048	48128	149.5	145.875
284	read_26c1472b-98f4-4999-b50e-cbfbf7c4989e	2048	48128	248.75	242.5
285	read_26f3394a-ed47-4e84-ac27-1b3f7d7540d2	2048	48128	236.25	238.375
286	read_270c9424-b241-4d3b-95f4-62fc0db02c7d	2048	48128	310.25	314.75
287	read_27340735-6801-4492-8309-d5fd179c0e85	2048	48128	288.25	286
288	read_2735f4b3-0952-4666-97ab-57215373572a	2048	48128	276.25	271.75
289	read_27648379-b7a4-44aa-9587-9cbd766b5d6a	2048	48128	303.25	300.75
290	read_27b13eec-fa54-4167-b4af-71019f9296a5	2048	48128	265	278.25
291	read_27c24a21-b839-41c6-aba2-e2e3eb338c0d	2048	48128	282.5	267
292	read_2843890b-9d45-4313-8381-3ee4d1f25e7a	2048	48128	270.5	271
293	read_2894a809-5549-4664-9402-3b0330a71704	2048	48128	260.75	284.5
294	read_28a1e320-676e-4281-bebe-954ee716dfdb	2048	48128	268.5	272
295	read_28ade3c5-b3eb-46c0-8ace-4ac1668c571f	2048	48128	305.25	316
296	read_28d3c39d-4f6f-4728-8145-d8eec2ca3183	2048	48128	252	265.5
297	read_28dd7164-0b6b-446b-b053-c7ac7decf736	2048	48128	263.75	268.25
298	read_28e318ff-724c-42e2-8597-2a4d12972272	2048	48128	255.875	263.25
299	read_28fb1a5e-e2f9-48f1-bc59-c9642bdb2dba	2048	48128	276.25	275
300	read_2910c2de-bcd9-4d27-abb1-7950f783f4a7	2048	48128	264.75	273.25
301	read_29780b1d-9fd1-4ec3-93cd-268f7f50edef	2048	48128	311.25	292.75
302	read_298cff6b-19a7-4a84-81fa-bc9961f0f4ce	2048	48128	263	268
303	read_2997e2a0-e362-4b1e-9d4b-1a6854befd98	2048	48128	293.25	277.5
304	read_29bf35cc-2960-45c9-9cf4-6856a3d8f477	2048	48128	263.25	261.25
305	read_29cbecc1-7c65-4d1b-bbf3-fb0f154b6f31	2048	48128	268.5	281.75
306	read_2a0dc102-9e98-44aa-a32b-660887025031	2048	48128	272.75	252.375
307	read_2a1e86a4-aa27-410c-942e-e0d76c98aa81	2048	48128	336	339.25
308	read_2a1fcfef-0f29-498f-b03b-cd040ffc20b9	2048	48128	330.5	336.75
309	read_2a56b9e0-6fad-48ec-9f83-d14ba63407b7	2048	48128	286.5	285.5
310	read_2a56cdc2-1d94-4711-9513-f5ca71a91b67	2048	48128	286	293.5
311	read_2a643cc7-e470-45c8-8384-c3de4740c88d	2048	48128	309.5	309.25
